nom;institution
Catherine EXPERTON; Pôle élevage, ITAB.
Catherine ROFFET; vétérinaire à Redon, partenaire du GAB 44.
Christian FAIVRE; technicien chambre d’agriculture du Doubs
Félix MULLER; conseiller technique BLE Pays Basque
Hervé LONGY; responsable de la ferme AB du Lycée agricole de Tulles/Naves
Jennifer LASSENE; Directrice d’exploitation, Lycée agricole de Saint Genest Malifaux.
Julien FORTIN; responsable de la Ferme expérimentale AB de Thorigné d’Anjou
Karine VAZEILLE; INRA
Martin EPHERRE; stagiaire BLE Pays Basque
Michel BOUY; vétérinaire ANTIKOR
Myriam DOUCET; Idèle
Nathalie BAREILLE; Enseignante-chercheuse à ONIRIS Nantes
Nathalie LAROCHE; vétérinaire SAS Zone Verte, partenaire BioAriège
Olivier LINCLAU; technicien GAB 44
Olivier PATOUT; vétérinaire à l’AVEM
Philippe ROUSSET; Idèle
Renée DE CREMOUX; Service Bien-être Santé Traçabilité Hygiène, Institut de l’élevage.
Sophie PRACHE; INRA
Thierry MOUCHARD; Pôle élevage,ITAB
