alerte_id;question
1;La ration est-elle bien équilibrée en énergie/azote ?
1;La distribution de la ration est-elle bien répartie ?
1;Les primipares sont-elles complémentées vis-à-vis des multipares ?
1;Existe-t-il une ration spécifique de début de lactation ?
1;Les bouses sont-elles hétérogènes, signe d'une instabilité ruminale ?
1;Les vêlages sont-ils dispersés ?
1;L'accès à l'auge est-il compétitif entre les animaux ?
1;Le bâtiment est-il équipé de cornadis ?
1;Le nombre de cornadis est-il au minimum supérieur au nombre d'animaux présents ?
1;Y-a-t-il un mélange d'animaux sans corne et d'animaux cornus ?
1;Y-a-t-il eu des recherches parasitismes récemment ?
2;Le bâtiment est-il trop chargé ?
2;La quantité de paille est-elle suffisante ?
2;La fréquence de curage est-elle suffisante ?
2;Le bâtiment montre-t-il des signes d'une mauvaise ventilation ?
2;Le bâtiment présente-t-il des excès d'humidité importants (sol non stabilisé et non drainé, fuite d'eau, ..) ?
2;L'orientation du bâtiment est-elle correcte ?
2;Le bardage du bâtiment est-il suffisant ?
2;La ration est-elle trop riche en amidon (acidose) ?
2;La ration trop riche en azote soluble (ex : fourrages verts)?
2;Les animaux présentent-ils les symptômes de la grippe ? Diarrhées avec température ?
2;Les animaux sont-ils susceptibles d'être parasités (période de pâturage) ?  (voir onglet parasitisme)
3;Est-ce que la nourriture est accessible à tous les animaux en même temps de manière équitable ?
3;Le nombre de cornadis est-il suffisant ? +10%/Nb d'animaux présents ?
4;L'absence de cornadis entraine-t-il des conflits à l'auge ?
4;Le troupeau présente-t-il une coexistence de vaches avec ou sans corne ?
4;Le bâtiment est-il protégé des perturbations électromagnétiques ? (ligne haute tension, poste de clôture, mauvaise terre électrique, faille terrestre, rivière souterraine, …) ?
4;Le lieu de vie des animaux présente-t-il des objets coupants, contondants ?
4;La ration est-elle équilibrée ou présente-t-elle un excès d'énergie ?
4;Certains animaux du troupeau sont-ils de souche d'animaux nerveux, agressifs ?
4;Les techniques d'élevage permettent-elles la mise en place d'une bonne relation homme/animal ?
4;Les animaux sont-ils confrontés à des éléments perturbateurs : chiens, tiers, ?
5;La topographie du terrain est-elle accidentée ?
5;Le lieu de vie des animaux présente-t-il des objets coupants, contondants ?
5;Les animaux sont-ils préparés à la mise à l'herbe ?
5;Y-a-t-il un mélange d'animaux de différents lots à la mise en pâtures provoquant des bagarres ?
5;Le nombre et les accès aux points d'eau sont-ils adaptés ?
5;Le troupeau présente-t-il une coexistence de vaches avec ou sans corne ?
5;Y-a-t-il des vaches vides et/ou un taureau dans les lots d'animaux ?
5;Les animaux sont-ils confrontés à des éléments perturbateurs : chiens, tiers, ?
5;La race du troupeau est-elle adaptée aux déplacements et au territoire ?
6;Est-ce que la nourriture est accessible à tous les animaux en même temps de manière équitable ?
6;Le nombre de cornadis est-il suffisant ? +10%/Nb d'animaux présents ?
6;L'absence de cornadis entraine-t-il des conflits à l'auge ?
6;Le troupeau présente-t-il une coexistence de vaches avec ou sans corne ?
6;Le bâtiment est-il protégé des perturbations électromagnétiques ? (ligne haute tension, poste de clôture, mauvaise terre électrique, faille terrestre, rivière souterraine, …) ?
6;Le lieu de vie des animaux présente-t-il des objets coupants, contondants ?
6;Les sols bétonnés sont-ils glissants ?
6;Y-a-t-il un mélange d'animaux de différents lots à la mise en stabulation provoquant des bagarres ?
7;La ration est-elle équilibrée et saine ?
7;La ration contient-elle des plantes toxiques dans les fourrages récoltés ou pâturés ? (ex : Datura)
7;L'abreuvement est-il suffisant et accessible à tous les animaux ?
7;Les circuits électriques sont-ils en bon état ou source d'électrocution ?
7;Le bâtiment est-il doté d'un parafoudre et d'une prise de terre électrique performante ?
7;Le bâtiment présente-t-il des courants d'air, source de maladies ?
